team_code,display_name,launch_identity_mode,local_asset_path,source_url,rights_status
ARI,Arizona Cardinals,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
ATL,Atlanta Falcons,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
BAL,Baltimore Ravens,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
BUF,Buffalo Bills,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
CAR,Carolina Panthers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
CHI,Chicago Bears,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
CIN,Cincinnati Bengals,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
CLE,Cleveland Browns,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
DAL,Dallas Cowboys,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
DEN,Denver Broncos,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
DET,Detroit Lions,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
GB,Green Bay Packers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
HOU,Houston Texans,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
IND,Indianapolis Colts,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
JAX,Jacksonville Jaguars,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
KC,Kansas City Chiefs,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
LV,Las Vegas Raiders,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
LAC,Los Angeles Chargers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
LA,Los Angeles Rams,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
MIA,Miami Dolphins,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
MIN,Minnesota Vikings,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
NE,New England Patriots,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
NO,New Orleans Saints,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
NYG,New York Giants,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
NYJ,New York Jets,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
PHI,Philadelphia Eagles,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
PIT,Pittsburgh Steelers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
SF,San Francisco 49ers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
SEA,Seattle Seahawks,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
TB,Tampa Bay Buccaneers,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
TEN,Tennessee Titans,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
WAS,Washington Commanders,BADGE,,,OFFICIAL_LOGO_NOT_APPROVED
